,Method,Class,BS,REL,RES,UNC
0,RF-direct,Normal,0.13259444232477918,0.029524932115620864,0.07560629182265365,0.18003404756207908
1,RF-direct,Delays,0.12260130996504928,0.014153828784852036,0.06030865638795709,0.1686378775002819
2,RF-direct,Diversions,0.025028187013773927,0.006125633506492488,0.0016834754703380554,0.020299965072371695
3,Direct SVGP,Normal,0.15541878092068412,0.04669390771083016,0.07044324271564446,0.18003404756207908
4,Direct SVGP,Delays,0.16287904638725742,0.054645951986536614,0.059964879857415346,0.1686378775002819
5,Direct SVGP,Diversions,0.02142178410490141,0.004935374768927974,0.003917143751697197,0.020299965072371695
6,RF-threshold,Normal,0.10542808130586635,0.007559975138721219,0.08190595261995329,0.18003404756207908
7,RF-threshold,Delays,0.1026666488840788,0.002317406678214424,0.06859616846034058,0.1686378775002819
8,RF-threshold,Diversions,0.035845454266368905,0.01701770225264087,0.0016234956846641953,0.020299965072371695
9,GP-threshold,Normal,0.1197102343204976,0.01516831306496374,0.07581515823563284,0.18003404756207908
10,GP-threshold,Delays,0.12693913407608404,0.004355141394274915,0.045326551468305755,0.1686378775002819
11,GP-threshold,Diversions,0.06480314794419584,0.045169771637641895,0.0013918633266449057,0.020299965072371695
